Language,LanguageCode,AppName,ShortDescription,FullDescription
English,en-US,AI Storage Cleaner,"Clean storage, remove duplicate photos, clear app cache, and optimize space.","AI Storage Cleaner helps you optimize your device storage and free up valuable space with smart file management tools.

Key Features:
• AI Smart Scan: Identify unnecessary system cache, temp files, and redundant residual data.
• Swipe Gallery Cleaner: Swipe left to delete unwanted photos and swipe right to keep your best memories.
• Duplicate Photo Detector: Find and remove duplicate photos and burst shots while automatically preserving the clearest picture.
• Media Compressor: Compress large 4K videos and high-resolution photos without noticeable loss of quality.
• App Cache Cleaner: Easily identify applications accumulating heavy cached files and manage app storage.
• Safe Vault: Protect sensitive media and files by auto-sorting them into a secure local vault.
• Smart Downloads Expiry: Automatically highlight outdated downloads and large files over 30, 60, or 90 days old.
• Storage Analytics: Visual charts showing detailed storage distribution across photos, videos, apps, and documents.

Privacy & Transparency:
All file scans, calculations, and deletions happen locally on your device. Your photos and personal files are never uploaded or shared with external servers.

Permissions:
- Storage access: Needed to scan, organize, and delete files selected by the user.
- Notifications: Optional alerts for storage updates and completed cleanup tasks."
Spanish,es-ES,Limpiador de Almacenamiento,"Limpia memoria, elimina fotos duplicadas, borra caché y optimiza espacio.","Limpiador de Almacenamiento con IA te ayuda a optimizar el espacio de tu dispositivo mediante herramientas inteligentes de gestión de archivos.

Funciones clave:
• Escaneo Inteligente: Identifica caché del sistema, archivos temporales y datos residuales redundantes.
• Limpiador de Galería por Deslizar: Desliza a la izquierda para eliminar fotos no deseadas y a la derecha para conservar recuerdos.
• Detector de Fotos Duplicadas: Encuentra y elimina fotos duplicadas manteniendo automáticamente la toma con mejor claridad.
• Compresor de Archivos: Comprime vídeos 4K y fotos de alta resolución sin pérdida visible de calidad.
• Limpiador de Caché de Aplicaciones: Identifica fácilmente las aplicaciones que acumulan caché pesado.
• Bóveda Segura: Protege fotos y archivos sensibles organizándolos en una bóveda local segura.
• Caducidad de Descargas: Detecta descargas antiguas de más de 30, 60 o 90 días.
• Análisis de Almacenamiento: Gráficos intuitivos con la distribución de fotos, vídeos, aplicaciones y documentos.

Privacidad:
Todos los análisis y eliminaciones de archivos se realizan localmente en tu dispositivo. Tus archivos personales nunca se suben a servidores externos."
French,fr-FR,Nettoyeur de Stockage AI,"Nettoyez le stockage, supprimez les doublons et videz le cache facilement.","Nettoyeur de Stockage AI vous aide à optimiser l'espace de votre appareil grâce à des outils intelligents de gestion de fichiers.

Fonctionnalités principales:
• Analyse Intelligente par IA: Identifiez le cache système, les fichiers temporaires et les données résiduelles.
• Nettoyage de Galerie par Balayage: Balayez vers la gauche pour supprimer les photos inutiles et à droite pour conserver les meilleures.
• Détecteur de Photos Similaires: Trouvez et supprimez les doublons en conservant automatiquement la photo la plus nette.
• Compresseur Média: Compressez les vidéos 4K et photos haute résolution sans perte visible de qualité.
• Nettoyeur de Cache d'Applications: Repérez facilement les applications accumulant un cache volumineux.
• Coffre Sécurisé: Protégez vos médias et fichiers sensibles dans un coffre local sécurisé.
• Expiration des Téléchargements: Identifiez automatiquement les téléchargements datant de plus de 30, 60 ou 90 jours.
• Graphiques d'Analyse: Visualisez la répartition précise de vos photos, vidéos, applications et documents.

Confidentialité:
Toutes les analyses et suppressions sont effectuées localement sur votre appareil. Vos photos et fichiers personnels ne sont jamais transférés sur des serveurs externes."
German,de-DE,KI Speicher Reiniger,"Bereinigen Sie Speicherplatz, entfernen Sie doppelte Fotos und App-Cache.","KI Speicher Reiniger hilft Ihnen, den Speicherplatz Ihres Geräts mit intelligenten Dateiverwaltungstools zu optimieren.

Hauptfunktionen:
• KI-Intelligenter Scan: Erkennt System-Cache, temporäre Dateien und verbleibende Datenmüll-Dateien.
• Wisch-Reinigung für Galerie: Wischen Sie nach links zum Löschen und nach rechts zum Behalten Ihrer Fotos.
• Erkennung doppelter Fotos: Findet und entfernt doppelte Fotos und behält automatisch die klarste Aufnahme.
• Medien-Komprimierung: Komprimiert 4K-Videos und hochauflösende Fotos ohne spürbaren Qualitätsverlust.
• App-Cache-Reiniger: Erkennt Anwendungen mit großem Cache-Speicher auf einen Blick.
• Sicherer Tresor: Schützt vertrauliche Fotos und Dateien in einem sicheren lokalen Tresor.
• Automatische Download-Ablaufzeit: Markiert alte Downloads, die älter als 30, 60 oder 90 Tage sind.
• Speicher-Analyse: Übersichtliche Diagramme zur Verteilung von Fotos, Videos, Apps und Dokumenten.

Datenschutz:
Alle Überprüfungen und Löschvorgänge werden lokal auf Ihrem Gerät durchgeführt. Ihre persönlichen Dateien werden niemals auf externe Server hochgeladen."
Japanese,ja-JP,AIストレージクリーナー,写真の重複削除、アプリキャッシュの消去、空き容量の最適化を簡単に実行。,"AIストレージクリーナーは、スマートなファイル管理ツールで端末のストレージ容量を最適化します。

主な機能：
・AIスマートスキャン：不要なシステムキャッシュや一時ファイルを自動検出。
・スワイプ写真クリーン：左スワイプで不要な写真を削除、右スワイプでお気に入りを保存。
・重複写真検出：似ている写真や連写グループから最も鮮明な1枚を自動選択し、重複分を削除。
・メディア圧縮：品質を損なわずに大容量の4K動画や高解像度写真を圧縮。
・アプリキャッシュクリーナー：蓄積された不要なアプリキャッシュを一覧表示して簡単整理。
・安全な金庫フォルダ：重要なファイルやプライベート写真を安全なローカルフォルダに保護。
・ダウンロード自動期限切れ：30日・60日・90日以上経過した古いファイルを検出し整理を提案。
・ストレージ統計チャート：写真、動画、アプリ、ドキュメントの使用割合を分かりやすくグラフ表示。

プライバシー保護：
すべてのファイルスキャンおよび削除処理は端末内でローカルに実行されます。写真や個人データが外部サーバーへ送信されることはありません。"
Chinese (Simplified),zh-CN,AI 存储空间清理器,轻松清理系统缓存、删除重复照片、整理大文件并优化手机存储空间。,"AI 存储空间清理器运用智能文件管理工具，帮助您轻松优化手机存储空间并释放宝贵容量。

核心功能：
• AI 智能扫描：一键精准检测系统缓存、临时文件及无用残留数据。
• 滑动相册清理：左滑快速清理无用废片，右滑轻松保留美好记忆。
• 重复照片检测：自动识别相似照片与连拍，智能保留清晰度最高的一张并清理冗余副本。
• 媒体文件压缩：无损视觉质量无缝压缩 4K 大视频与高解析度照片。
• 应用缓存清理：清晰直观呈现各大应用占用的缓存数据并便捷清理。
• 加密安全保险箱：将重要照片与隐私文件保存在本地加密保险箱中。
• 下载文件自动过期：自动筛选存放超过 30、60 或 90 天的旧下载文件。
• 存储空间可视化分析：图形化图表直观展示照片、视频、应用与文档的占用比例。

隐私承诺：
所有文件扫描、计算与清理均在本地设备完成，您的个人照片与隐私文件绝不会上传至任何外部服务器。"
Vietnamese,vi-VN,Dọn Dẹp Bộ Nhớ AI,"Dọn dẹp bộ nhớ, xóa ảnh trùng lặp, xóa cache ứng dụng và tối ưu dung lượng.","Dọn Dẹp Bộ Nhớ AI giúp bạn tối ưu hóa dung lượng thiết bị và giải phóng bộ nhớ hiệu quả với công cụ quản lý tệp thông minh.

Tính năng nổi bật:
• Quét Thông Minh AI: Nhận diện bộ nhớ đệm hệ thống, tệp tạm và dữ liệu thừa nhanh chóng.
• Vuốt Dọn Dẹp Thư Viện Ảnh: Vuốt sang trái để xóa ảnh thừa, vuốt sang phải để giữ lại ảnh đẹp.
• Nhận Diện Ảnh Trùng Lặp: Tự động phát hiện ảnh trùng lặp, tự động chọn tấm ảnh nét nhất và đề xuất xóa bản sao.
• Nén Video & Ảnh Mới: Nén video 4K và ảnh dung lượng lớn mà không làm giảm chất lượng hình ảnh.
• Dọn Cache Ứng Dụng: Quản lý và giải phóng bộ nhớ đệm chiếm dụng bởi các ứng dụng.
• Két An Toàn Bảo Mật: Di chuyển các ảnh và tệp riêng tư vào thư mục két an toàn trên thiết bị.
• Cảnh Báo Tệp Cũ: Tự động nhắc nhở dọn dẹp các tệp tải về đã quá 30, 60 hoặc 90 ngày.
• Biểu Đồ Thống Kê Dung Lượng: Hiển thị trực quan tỷ lệ bộ nhớ của ảnh, video, ứng dụng và tài liệu.

Bảo mật & Quyền riêng tư:
Tất cả quá trình quét và xóa tệp được thực hiện hoàn toàn cục bộ trên điện thoại của bạn. Dữ liệu cá nhân không bao giờ bị tải lên máy chủ bên ngoài."
Arabic,ar-SA,منظف المساحة الذكي,تنظيف ذاكرة التخزين، إزالة الصور المكررة، مسح التخزين المؤقت وتحسين المساحة.,"يساعدك منظف المساحة الذكي على تحسين مساحة التخزين في جهازك وتحرير المساحة باستخدام أدوات إدارة الملفات الذكية.

الميزات الرئيسية:
• الفحص الذكي: التعرف على ذاكرة التخزين المؤقت للنظام والملفات المؤقتة والبيانات المتبقية.
• تنظيف الصور بالسحب: اسحب لليسار لحذف الصور غير المرغوب فيها واسحب لليمين للاحتفاظ بالذكريات.
• كاشف الصور المكررة: العثور على الصور المكررة وحذفها مع الاحتفاظ بالصورة الأكثر وضوحًا تلقائيًا.
• ضغط الوسائط: ضغط مقاطع الفيديو بدقة 4K والصور عالية الدقة دون فقدان ملحوظ في الجودة.
• منظف التخزين المؤقت للتطبيقات: التعرف بسهولة على التطبيقات التي تستهلك مساحة كبيرة.
• الخزنة الآمنة: حماية الصور والملفات الحساسة عن طريق نقلها إلى خزنة محلية آمنة.
• انتهاء صلاحية التنزيلات: اكتشاف التنزيلات القديمة التي مر عليها أكثر من 30 أو 60 أو 90 يومًا.
• تحليلات التخزين: رسوم بيانية توضح توزيع المساحة بين الصور ومقاطع الفيديو والتطبيقات والمستندات.

الخصوصية والأمان:
تتم جميع عمليات الفحص والحذف محليًا على جهازك. لا يتم تحميل صورك أو ملفاتك الشخصية إلى أي خوادم خارجية."
Hindi,hi-IN,AI स्टोरेज क्लीनर,"स्टोरेज साफ करें, डुप्लिकेट फोटो हटाएं, ऐप कैश साफ़ करें और जगह बचाएं।","AI स्टोरेज क्लीनर आपके डिवाइस के स्टोरेज को मैनेज करने और खाली जगह बनाने में मदद करता है।

मुख्य विशेषताएं:
• AI स्मार्ट स्कैन: सिस्टम कैश, टेम्पररी फाइलों और अनावश्यक डेटा को पहचानें।
• स्वाइप फोटो क्लीनर: अवांछित फोटो हटाने के लिए बाएं स्वाइप करें और अच्छी फोटो रखने के लिए दाएं स्वाइप करें।
• डुप्लिकेट फोटो डिटेक्टर: डुप्लिकेट फोटो ढूंढें और साफ़ करें, जबकि सबसे साफ़ फोटो अपने आप सुरक्षित रहती है।
• मीडिया कंप्रेसर: 4K वीडियो और फोटो की क्वालिटी घटाए बिना साइज कम करें।
• ऐप कैश क्लीनर: ऐप्स द्वारा ली गई अनावश्यक कैश मेमोरी को आसानी से साफ़ करें।
• सुरक्षित वॉल्ट: अपनी निजी फोटो और फाइलों को सुरक्षित लोकल वॉल्ट में रखें।
• पुरानी फाइलों की समाप्ति: 30, 60 या 90 दिनों से पुरानी डाउनलोड फाइलों की पहचान करें।
• स्टोरेज एनालिटिक्स: फोटो, वीडियो, ऐप और डॉक्यूमेंट्स के स्टोरेज उपयोग का ग्राफ देखें।

गोपनीयता और सुरक्षा:
सभी फाइलों की जांच और सफाई पूरी तरह से आपके फोन पर होती है। आपकी निजी फाइलें कभी भी बाहरी सर्वर पर अपलोड नहीं की जाती हैं।"
Portuguese,pt-BR,Limpador de Armazenamento,"Limpe o armazenamento, remova fotos duplicadas e apague o cachê de apps.","O Limpador de Armazenamento ajuda você a otimizar o espaço do seu dispositivo com ferramentas inteligentes de gerenciamento de arquivos.

Recursos principais:
• Varredura Inteligente com IA: Identifique cache do sistema, arquivos temporários e dados residuais.
• Limpeza por Deslize: Deslize para a esquerda para apagar fotos indesejadas e para a direita para manter as melhores.
• Detector de Fotos Duplicadas: Encontre e remova fotos duplicadas mantendo automaticamente a imagem mais nítida.
• Compressor de Mídia: Comprima vídeos 4K e fotos de alta resolução sem perda visível de qualidade.
• Limpador de Cache de Apps: Identifique facilmente os aplicativos que acumulam arquivos de cache pesados.
• Cofre Seguro: Proteja fotos e arquivos confidenciais organizando-os em um cofre local seguro.
• Expiração de Downloads: Identifique downloads antigos com mais de 30, 60 ou 90 dias.
• Gráficos de Armazenamento: Visualize a distribuição de espaço ocupado por fotos, vídeos, apps e documentos.

Privacidade:
Todas as verificações e exclusões ocorrem localmente no seu dispositivo. Suas fotos e arquivos pessoais nunca são enviados para servidores externos."
Russian,ru-RU,Очистка памяти AI,"Очищайте память, удаляйте дубликаты фото и кэш приложений быстро и легко.","Очистка памяти AI помогает оптимизировать свободное место на вашем устройстве с помощью умных инструментов управления файлами.

Основные функции:
• Умное сканирование AI: Находите системный кэш, временные файлы и остаточный мусор в один клик.
• Свайп-очистка галереи: Смахивайте влево для удаления ненужных фото и вправо для сохранения лучших снимков.
• Поиск дубликатов фото: Находите и удаляйте похожие снимки, автоматически сохраняя самый четкий кадр.
• Сжатие медиафайлов: Сжимайте 4K-видео и фото высокого разрешения без видимой потери качества.
• Очистка кэша приложений: Удобно просматривайте и очищайте накопившийся кэш приложений.
• Защищенное хранилище: Храните личные фото и важные файлы в безопасной локальной папке.
• Срок службы загрузок: Находите устаревшие файлы в папке загрузок старше 30, 60 или 90 дней.
• Аналитика памяти: Наглядные диаграммы распределения памяти между фото, видео, приложениями и документами.

Конфиденциальность:
Все процессы сканирования и удаления выполняются локально на вашем устройстве. Ваши личные файлы никогда не передаются на сторонние серверы."
